Timestamp,Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week?,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?,,,,,
2024/03/07 5:12:01 pm EET,Female,76,2nd Year,Arts,72,Private accommodation/ stay with family/friends,R 4001 - R 5000,No,2,Only weekends,8+,3,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:12:08 pm EET,Male,89,2nd Year,Business,75,Private accommodation/ stay with family/friends,R 7001 - R 8000,"Yes (NSFAS, etc...)",2,Only weekends,03-May,4+,0,No,Yes,Very close,,,,,2
2024/03/07 5:12:25 pm EET,Male,76,1st Year,Biology,55,Private accommodation/ stay with family/friends,R 4001 - R 5000,No,2,2,8+,3,0,No,Yes,Very close,,,,,2
2024/03/07 5:12:28 pm EET,Male,89,2nd Year,Engineering,84,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,3,8+,2,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:13:00 pm EET,Female,74,2nd Year,Arts,52,Private accommodation/ stay with family/friends,R 4001 - R 5000,No,2,Only weekends,05-Aug,1,3,No,Yes,Fair,,,,,2
2024/03/07 5:13:18 pm EET,Male,83,2nd Year,Engineering,0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,2,4+,03-May,3,1,Yes,Yes,Very close,,,,,2
2024/03/07 5:13:22 pm EET,Male,80,2nd Year,Business,54,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,2,05-Aug,1,0,No,Yes,Very close,,,,,2
2024/03/07 5:13:26 pm EET,Female,85,2nd Year,Arts,75,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,2,3,03-May,2,0,Yes,Yes,Very close,,,,,2
2024/03/07 5:13:28 pm EET,Male,89,2nd Year,Engineering,0,,R 5001 - R 6000,No,2,Only weekends,03-May,0,,No,Yes,Very close,,,,,2
2024/03/07 5:13:35 pm EET,Male,83,2nd Year,Science,0,,R 6001 - R 7000,No,2,3,05-Aug,4+,0,No,Yes,Close,,,,,2
