pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima,u_romanticnoj_vezi,ponavlja
F,2.0,Arts,Africa,B,2.0,good,Private,poor,Very close,Yes,no
M,2.0,Business,Africa,A,2.0,poor,Private,vgood,Very close,No,no
M,1.0,Biology,Africa,B,2.0,good,Private,poor,Very close,No,no
M,2.0,Engineering,Africa,A,2.0,good,Private,vgood,Very close,Yes,no
F,2.0,Arts,Africa,B,2.0,vgood,Private,poor,Fair,No,yes
M,2.0,Engineering,Africa,A,2.0,good,Private,vgood,Very close,Yes,yes
M,2.0,Business,Africa,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Arts,Africa,A,2.0,good,Private,good,Very close,Yes,no
M,2.0,Engineering,Africa,A,2.0,vgood,Private,good,Very close,No,yes
M,2.0,Science,Africa,A,2.0,poor,Private,vgood,Close,No,no
F,2.0,Biology,Africa,B,2.0,vgood,Private,poor,Close,No,no
F,2.0,Arts,Africa,B,2.0,vgood,Private,vgood,Close,No,no
M,2.0,Business,Africa,B,2.0,good,Private,good,Very close,No,yes
F,2.0,Business,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,no
M,2.0,Science,Africa,B,2.0,vgood,Private,poor,Very close,No,no
F,1.0,Science,Africa,A,2.0,vgood,Private,poor,Very close,No,no
F,1.0,Engineering,Africa,A,2.0,vgood,Private,poor,Fair,No,no
M,1.0,Business,Africa,B,2.0,vgood,Private,good,Very close,Yes,no
F,1.0,Medicine,Africa,A,2.0,vgood,Private,poor,Very close,Yes,no
M,2.0,Arts,Africa,C,2.0,good,Private,vgood,Very close,No,yes
M,2.0,Business,Africa,B,2.0,vgood,Non private,good,Fair,No,yes
M,2.0,Engineering,Africa,B,2.0,vgood,Private,poor,Very close,No,yes
F,2.0,Arts,Africa,B,2.0,vgood,Private,poor,Very close,No,yes
F,2.0,Law,Africa,A,2.0,good,Private,poor,Very close,No,yes
F,1.0,Business,Africa,B,2.0,good,Private,vgood,Very close,No,no
M,2.0,Arts,Africa,B,2.0,good,Private,vgood,Very close,No,yes
M,3.0,Engineering,Africa,A,2.0,vgood,Private,good,Very close,Yes,no
M,2.0,Engineering,Africa,B,2.0,vgood,Private,vgood,Very close,No,yes
F,2.0,Business,Africa,A,2.0,vgood,Non private,good,Very close,No,yes
F,1.0,Business,Africa,B,2.0,vgood,Private,vgood,Very close,No,no
M,2.0,Engineering,Africa,A,2.0,vgood,Private,good,Very close,No,no
M,1.0,Engineering,Africa,A,2.0,vgood,Private,poor,Very close,No,no
M,1.0,Business,Africa,A,2.0,vgood,Private,good,Close,No,no
M,2.0,Business,Africa,A,2.0,good,Private,good,Very close,Yes,yes
F,2.0,Science,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,yes
M,1.0,Business,Africa,B,2.0,good,Private,poor,Very close,No,no
M,2.0,Business,Africa,B,2.0,good,Private,good,Very close,No,no
M,1.0,Business,Africa,B,2.0,good,Private,good,Close,Yes,yes
M,2.0,Business,Africa,A,2.0,good,Private,poor,Very close,No,yes
F,2.0,Arts,Africa,A,2.0,vgood,Private,poor,Close,Yes,no
F,1.0,Business,Africa,B,2.0,good,Private,vgood,Close,Yes,no
F,2.0,Business,Africa,C,2.0,good,Private,poor,Very close,Yes,yes
M,2.0,Business,Africa,A,2.0,poor,Private,good,Very close,Yes,no
F,2.0,Business,Africa,A,2.0,vgood,Private,good,Close,No,no
F,2.0,Business,Africa,B,2.0,vgood,Private,poor,Very close,Yes,no
F,2.0,Arts,Africa,B,2.0,good,Private,good,Very close,Yes,no
M,2.0,Business,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,yes
M,1.0,Arts,Africa,B,2.0,vgood,Private,good,Very close,Yes,no
M,2.0,Business,Africa,B,2.0,vgood,Private,poor,Close,Yes,no
F,1.0,Business,Africa,A,2.0,vgood,Private,good,Very close,Yes,yes
M,2.0,Business,Africa,B,2.0,vgood,Private,vgood,Close,No,yes
M,1.0,Business,Africa,C,2.0,vgood,Private,vgood,Close,No,no
F,1.0,Business,Africa,C,2.0,good,Non private,poor,Very close,Yes,no
M,1.0,Science,Africa,A,2.0,vgood,Non private,poor,Close,No,no
M,1.0,Engineering,Africa,A,2.0,vgood,Private,poor,Distant,Yes,yes
M,2.0,Arts,Africa,B,2.0,vgood,Private,poor,Close,Yes,no
F,1.0,Medicine,Africa,A,2.0,good,Non private,vgood,Very close,No,no
M,2.0,Business,Africa,A,2.0,poor,Private,poor,Fair,Yes,no
F,1.0,Medicine,Africa,A,2.0,vgood,Private,poor,Very close,No,no
F,2.0,Law,Africa,A,2.0,vgood,Private,good,Very close,No,yes
F,3.0,Education,Africa,B,2.0,vgood,Private,vgood,Very close,No,yes
F,1.0,Science,Africa,B,2.0,good,Private,poor,Close,No,no
F,2.0,Engineering,Africa,A,2.0,vgood,Private,poor,Close,No,no
F,1.0,Business,Africa,A,2.0,vgood,Private,poor,Very close,Yes,no
F,1.0,Science,Africa,A,2.0,good,Private,poor,Very close,Yes,no
M,2.0,Science,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,no
F,2.0,Engineering,Africa,B,2.0,poor,Private,vgood,Close,Yes,no
F,3.0,Arts,Africa,B,2.0,vgood,Private,poor,Very close,No,no
M,4.0,Biology,Africa,A,2.0,vgood,Private,vgood,Very close,Yes,no
F,2.0,Science,Africa,A,2.0,vgood,Non private,poor,Very close,Yes,no
M,1.0,Arts,Africa,A,2.0,good,Private,good,Very close,No,no
F,2.0,Arts,Africa,B,2.0,vgood,Private,poor,Very close,Yes,yes
F,2.0,Business,Africa,A,2.0,vgood,Non private,poor,Close,No,no
F,1.0,Biology,Africa,C,2.0,vgood,Private,vgood,Very close,No,yes
M,2.0,Business,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,yes
F,2.0,Law,Africa,B,2.0,good,Private,poor,Very close,No,no
F,2.0,Science,Africa,A,2.0,vgood,Private,poor,Very close,No,no
M,2.0,Business,Africa,B,2.0,vgood,Private,good,Very close,Yes,no
M,3.0,Biology,Africa,A,2.0,vgood,Private,good,Very close,No,yes
F,3.0,Medicine,Africa,B,2.0,vgood,Private,vgood,Very close,No,no
F,3.0,Arts,Africa,B,2.0,vgood,Private,good,Very close,Yes,no
F,2.0,Business,Africa,B,2.0,good,Private,vgood,Very close,No,no
F,2.0,Business,Africa,B,2.0,vgood,Private,poor,Very close,Yes,yes
F,3.0,Business,Africa,B,2.0,vgood,Private,good,Very close,No,yes
F,3.0,Science,Africa,A,2.0,vgood,Non private,good,Very close,Yes,no
F,2.0,Business,Africa,B,2.0,vgood,Private,good,Very close,No,yes
F,2.0,Law,Africa,B,2.0,good,Private,vgood,Very close,No,yes
M,1.0,Business,Africa,C,2.0,vgood,Private,poor,Very close,No,no
F,2.0,Engineering,Africa,A,2.0,good,Private,poor,Very close,No,yes
F,1.0,Biology,Africa,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Science,Africa,A,2.0,good,Private,vgood,Very close,No,no
F,3.0,Arts,Africa,B,2.0,vgood,Private,vgood,Close,Yes,yes
M,2.0,Business,Africa,B,2.0,vgood,Private,vgood,Very close,No,yes
M,2.0,Business,Africa,A,2.0,vgood,Private,poor,Fair,No,no
F,3.0,Business,Africa,B,2.0,vgood,Private,good,Close,No,no
M,3.0,Arts,Africa,C,2.0,vgood,Private,poor,Very close,No,no
M,2.0,Business,Africa,C,2.0,vgood,Private,vgood,Very close,Yes,no
M,3.0,Biology,Africa,B,2.0,vgood,Private,poor,Very close,No,no
M,2.0,Business,Africa,B,2.0,vgood,Private,good,Very close,No,yes
F,1.0,Arts,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,no
M,2.0,Business,Africa,B,2.0,good,Private,vgood,Fair,No,yes
M,1.0,Business,Africa,B,2.0,vgood,Private,poor,Very close,Yes,no
M,1.0,Business,Africa,C,2.0,vgood,Private,poor,Very close,Yes,no
M,2.0,Engineering,Africa,B,2.0,poor,Private,vgood,Very close,Yes,no
F,1.0,Business,Africa,B,2.0,good,Private,poor,Very close,Yes,yes
M,1.0,Science,Africa,B,2.0,vgood,Non private,poor,,No,yes
M,1.0,Business,Africa,B,2.0,vgood,Private,vgood,Fair,No,no
M,3.0,Science,Africa,B,2.0,vgood,Private,vgood,Close,Yes,yes
M,2.0,Business,Africa,B,2.0,poor,Private,good,Close,No,no
F,2.0,Business,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,yes
F,3.0,Science,Africa,A,2.0,vgood,Private,poor,Close,No,no
M,1.0,Biology,Africa,C,2.0,vgood,Private,good,Very close,Yes,no
F,1.0,Business,Africa,A,2.0,vgood,Private,vgood,Fair,Yes,no
F,1.0,Business,Africa,A,2.0,vgood,Private,poor,Close,No,no
M,1.0,Science,Africa,A,2.0,vgood,Private,poor,Distant,Yes,no
F,2.0,Arts,Africa,B,2.0,vgood,Private,poor,Very close,Yes,no
M,1.0,Business,Africa,B,2.0,vgood,Private,poor,Very close,No,yes
M,1.0,Engineering,Africa,B,2.0,vgood,Non private,poor,Close,Yes,no
M,2.0,Arts,Africa,A,2.0,poor,Non private,poor,Close,Yes,no
M,2.0,Business,Africa,A,2.0,vgood,Private,poor,Very close,No,no
M,2.0,Biology,Africa,C,2.0,vgood,Private,poor,Close,Yes,yes
F,1.0,Science,Africa,A,2.0,vgood,Private,poor,Very close,No,no
M,2.0,Business,Africa,B,2.0,good,Private,vgood,Close,No,yes
M,2.0,Business,Africa,A,2.0,vgood,Non private,poor,Very close,No,no
F,2.0,Education,Africa,A,2.0,vgood,Private,good,Close,Yes,no
F,2.0,Business,Africa,A,2.0,vgood,Private,poor,Fair,Yes,yes
M,2.0,Business,Africa,B,2.0,good,Private,good,Very close,No,no
M,2.0,Engineering,Africa,A,2.0,poor,Non private,poor,Very close,No,yes
F,2.0,Business,Africa,B,2.0,good,Private,good,Very close,No,yes
M,1.0,Business,Africa,A,2.0,vgood,Private,poor,Close,No,no
F,1.0,Arts,Africa,B,2.0,poor,Private,good,Very close,Yes,yes
M,1.0,Science,Africa,B,2.0,vgood,Non private,good,Very close,No,yes
M,2.0,Business,Africa,B,2.0,good,Private,good,Very close,Yes,yes
F,1.0,Business,Africa,B,2.0,vgood,Private,poor,Very close,No,yes
M,1.0,Science,Africa,C,2.0,vgood,Private,vgood,Very close,No,no
M,2.0,Business,Africa,B,2.0,vgood,Private,poor,Close,Yes,yes
F,1.0,Business,Africa,B,2.0,vgood,Non private,poor,Close,Yes,no
F,1.0,Business,Africa,B,2.0,vgood,Non private,vgood,Very close,Yes,yes
F,1.0,Biology,Africa,B,2.0,vgood,Private,poor,Close,No,no
F,2.0,Business,Africa,A,2.0,poor,Private,good,Very close,Yes,no
F,2.0,Business,Africa,A,2.0,poor,Private,good,Very close,Yes,no
F,2.0,Business,Africa,B,2.0,vgood,Private,good,Very close,Yes,yes
F,2.0,Business,Africa,A,2.0,vgood,Private,vgood,Very close,No,no
M,4.0,Biology,Africa,C,2.0,good,Private,vgood,Very close,No,yes
M,4.0,Business,Africa,B,2.0,vgood,Private,good,Very close,No,no
F,2.0,Arts,Africa,B,2.0,good,Private,good,Close,No,yes
M,3.0,Biology,Africa,B,2.0,good,Private,poor,Close,No,yes
F,2.0,Business,Africa,A,2.0,vgood,Private,poor,Fair,Yes,no
F,3.0,Science,Africa,A,2.0,good,Private,vgood,Very close,No,no
F,3.0,Arts,Africa,A,2.0,vgood,Private,poor,Close,No,no
M,3.0,Business,Africa,B,2.0,vgood,Private,vgood,Very close,Yes,no
M,2.0,Biology,Africa,B,2.0,poor,Non private,poor,Close,No,no
F,1.0,Business,Africa,A,2.0,vgood,Non private,poor,Close,No,yes
M,2.0,Business,Africa,A,2.0,vgood,Non private,poor,Close,No,no
F,2.0,Business,Africa,A,2.0,vgood,Private,poor,Very close,No,yes
M,4.0,Business,Africa,B,2.0,vgood,Private,good,Very close,Yes,yes
