pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima
F,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
M,1.0,AgriSciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Engineering,Africa,A,8.0,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Fair
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,A,8.0,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
F,1.0,Science,Africa,A,8.0,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Arts & Social Sciences,Africa,C,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Non private,good,Fair
M,2.0,Engineering,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Law,Africa,A,8.0,poor,Private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Arts & Social Sciences,Africa,B,8.0,poor,Private,good,Very close
M,3.0,Engineering,Africa,A,8.0,poor,Private,good,Very close
M,2.0,Engineering,Africa,B,8.0,poor,Private,good,Very close
F,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Non private,good,Very close
F,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Engineering,Africa,A,8.0,poor,Private,good,Very close
M,1.0,Engineering,Africa,A,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
F,2.0,Science,Africa,B,8.0,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
M,2.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Very close
M,1.0,Economic & Management Sciences,Africa,B,8.0,poor,Private,good,Close
M,2.0,Economic & Management Sciences,Africa,A,8.0,poor,Private,good,Very close
