pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima
F,2,Arts,Africa,B,8,poor,Private,good,Very close
M,2,Business,Africa,A,8,poor,Private,good,Very close
M,1,Biology,Africa,B,8,poor,Private,good,Very close
M,2,Engineering,Africa,A,8,poor,Private,good,Very close
F,2,Arts,Africa,B,8,poor,Private,good,Fair
M,2,Business,Africa,B,8,poor,Private,good,Very close
F,2,Arts,Africa,A,8,poor,Private,good,Very close
F,2,Arts,Africa,B,8,poor,Private,good,Close
M,2,Business,Africa,B,8,poor,Private,good,Very close
F,2,Business,Africa,B,8,poor,Private,good,Very close
F,1,Science,Africa,A,8,poor,Private,good,Very close
M,1,Business,Africa,B,8,poor,Private,good,Very close
M,2,Arts,Africa,C,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Non private,good,Fair
M,2,Engineering,Africa,B,8,poor,Private,good,Very close
F,2,Arts,Africa,B,8,poor,Private,good,Very close
F,2,Law,Africa,A,8,poor,Private,good,Very close
F,1,Business,Africa,B,8,poor,Private,good,Very close
M,2,Arts,Africa,B,8,poor,Private,good,Very close
M,3,Engineering,Africa,A,8,poor,Private,good,Very close
M,2,Engineering,Africa,B,8,poor,Private,good,Very close
F,2,Business,Africa,A,8,poor,Non private,good,Very close
F,1,Business,Africa,B,8,poor,Private,good,Very close
M,2,Engineering,Africa,A,8,poor,Private,good,Very close
M,1,Engineering,Africa,A,8,poor,Private,good,Very close
M,2,Business,Africa,A,8,poor,Private,good,Very close
F,2,Science,Africa,B,8,poor,Private,good,Very close
M,1,Business,Africa,B,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Very close
M,1,Business,Africa,B,8,poor,Private,good,Close
M,2,Business,Africa,A,8,poor,Private,good,Very close
F,2,Arts,Africa,A,8,poor,Private,good,Close
F,1,Business,Africa,B,8,poor,Private,good,Close
F,2,Business,Africa,C,8,poor,Private,good,Very close
M,2,Business,Africa,A,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Very close
M,1,Arts,Africa,B,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Close
F,1,Business,Africa,A,8,poor,Private,good,Very close
M,2,Business,Africa,B,8,poor,Private,good,Close
F,1,Business,Africa,C,8,poor,Non private,good,Very close
M,1,Science,Africa,A,8,poor,Non private,good,Close
M,1,Engineering,Africa,A,8,poor,Private,good,Distant
M,2,Arts,Africa,B,8,poor,Private,good,Close
F,1,Medicine,Africa,A,8,poor,Non private,good,Very close
M,2,Business,Africa,A,8,poor,Private,good,Fair
F,1,Medicine,Africa,A,8,poor,Private,good,Very close
F,2,Law,Africa,A,8,poor,Private,good,Very close
F,3,Education,Africa,B,8,poor,Private,good,Very close
F,1,Science,Africa,B,8,poor,Private,good,Close
F,2,Engineering,Africa,A,8,poor,Private,good,Close
F,1,Business,Africa,A,8,poor,Private,good,Very close
F,1,Science,Africa,A,8,poor,Private,good,Very close
M,2,Science,Africa,B,8,poor,Private,good,Very close
F,2,Engineering,Africa,B,8,poor,Private,good,Close
M,4,Biology,Africa,A,8,poor,Private,good,Very close
